Category: All categories

Region,Hamburger: (2/1/24 - 2/28/25),Milkshake: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
South Dakota,76%,14%,10%
Oklahoma,68%,20%,12%
Montana,74%,14%,12%
Idaho,69%,18%,13%
Hawaii,72%,15%,13%
South Carolina,66%,23%,11%
Oregon,70%,17%,13%
Nebraska,70%,18%,12%
Arkansas,68%,20%,12%
North Dakota,69%,19%,12%
Kansas,67%,19%,14%
Tennessee,65%,22%,13%
Nevada,67%,20%,13%
Utah,65%,21%,14%
Alaska,72%,15%,13%
Mississippi,69%,20%,11%
Missouri,67%,19%,14%
Wyoming,71%,16%,13%
Colorado,68%,18%,14%
Iowa,68%,18%,14%
North Carolina,65%,22%,13%
Arizona,67%,19%,14%
Alabama,65%,23%,12%
Wisconsin,67%,19%,14%
Texas,66%,21%,13%
Minnesota,68%,19%,13%
Georgia,65%,21%,14%
Michigan,67%,20%,13%
Louisiana,65%,21%,14%
Indiana,63%,23%,14%
New Mexico,67%,19%,14%
Washington,66%,19%,15%
California,65%,20%,15%
West Virginia,64%,23%,13%
Virginia,65%,22%,13%
Ohio,63%,24%,13%
Maine,70%,17%,13%
Kentucky,63%,23%,14%
New Hampshire,68%,19%,13%
Connecticut,64%,22%,14%
Rhode Island,64%,23%,13%
Vermont,69%,17%,14%
Illinois,62%,23%,15%
Florida,64%,22%,14%
Pennsylvania,61%,24%,15%
Delaware,62%,25%,13%
Maryland,62%,23%,15%
New York,63%,21%,16%
District of Columbia,68%,16%,16%
New Jersey,61%,23%,16%
Massachusetts,62%,21%,17%
